﻿system_reference_number,facility_name,unit_name_and_description,form_score,patient_comments,Sentiment Score,Translated Text,Misspelled Words
OP-DPOS-2023-57-622644,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"I was welcomed nicely perfect.I feel free and its so clean. I love the environment,I am so excited",0.9622,"I was welcomed nicely perfect.I feel free and its so clean. I love the environment,I am so excited","environment,i,clean.,perfect.i"
OP-DPOS-2023-57-917757,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Cardiac doctors helped me a lot,0.0,Cardiac doctors helped me a lot,
OP-DPOS-2023-57-042162,Charlotte Maxeke Academic Hospital,Premature low care,1,"Both sisters that I found in the unit today where so friendly and helpful. To all staff that looked after m baby Bhengu on her stay from the Bhengu family we truly appreciate all that you did for our daughter. It was not an easy journey but your support made a big difference. To the sisters, thank you for being so kind and supportive.",0.971,"Both sisters that I found in the unit today where so friendly and helpful. To all staff that looked after m baby Bhengu on her stay from the Bhengu family we truly appreciate all that you did for our daughter. It was not an easy journey but your support made a big difference. To the sisters, thank you for being so kind and supportive.","difference.,m,bhengu,sisters,,supportive.,daughter.,helpful."
OP-DPOS-2023-57-250469,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,All good from health care workers.Ventilation a big problem.The waiting area can get quite crowded and it gets stuffy,0.7269,All good from health care workers.Ventilation a big problem.The waiting area can get quite crowded and it gets stuffy,"workers.ventilation,problem.the"
OP-DPOS-2023-57-057191,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Well cared for.,0.5994,Well cared for.,for.
OP-DPOS-2023-57-540902,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.83,We wait longer to get cards,0.0,We wait longer to get cards,
OP-DPOS-2023-57-793314,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Amazing service,0.5859,Amazing Service,
OP-DPOS-2023-57-436413,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.78,We wait too long at the reception area.It will be nice to have toilets for toddlers in baby clinic,0.4215,We wait too long at the reception area.It will be nice to have toilets for toddlers in baby clinic,area.it
OP-DPOS-2023-57-084555,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Very happy and satisfied with service,0.7939,Very happy and satisfied with service,
OP-DPOS-2023-57-466480,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,patient is 4months old,0.0,patient is 4months old,4months
OP-DPOS-2023-387-116242,Steve Biko Academic hospital,Gynaecology,0.61,They greet and introduce themselves sometimes and the toilets are not clean with no toilets paper,0.2335,They greet and introduce themselves sometimes and the toilets are not clean with no toilets paper,
OP-DPOS-2023-387-520317,Steve Biko Academic hospital,Gynaecology,1,Smetimes wait long to get help,0.4019,Smetimes wait long to get help,smetimes
OP-DPOS-2023-57-559738,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,0.83,all good. patient did not receive medication so section 4 is N/A,0.4404,all good. patient did not receive medication so section 4 is N/A,"n/a,good."
OP-DPOS-2023-387-432989,Steve Biko Academic hospital,Gynaecology,1,The bed is dirty and also the linen is dirty,-0.7003,The bed is dirty and also the linen is dirty,
OP-DPOS-2023-57-909445,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,"Good
excellent",0.765,"Good
excellent",
OP-DPOS-2023-387-709580,Steve Biko Academic hospital,Gynaecology,1,They wait long to get medication,0.0,They wait long to get medication,
OP-DPOS-2023-57-432975,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,"very good service,loving and caring people. I love the staff at oncology ward. i even miss them when we not here

LOVING",0.7434,"very good service,loving and caring people. I love the staff at oncology ward. i even miss them when we not here

LOVING","service,loving,people.,ward."
OP-DPOS-2023-57-931025,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,I  am very happy and appriciate everthing.,0.6115,I  am very happy and appriciate everthing.,"everthing.,appriciate"
OP-DPOS-2023-57-884292,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,i appreciate the care i get from this hospital thanks!,0.8439,i appreciate the care i get from this hospital thanks!,thanks!
OP-DPOS-2023-57-740146,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,good services,0.4404,good services,
OP-DPOS-2023-57-358716,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,i really appreciate the good service i got today,0.7316,i really appreciate the good service i got today,
OP-DPOS-2023-387-315280,Steve Biko Academic hospital,ENT,1,Still wait for a ear drum for one and a half year now,0.0,Still wait for a ear drum for one and a half year now,
OP-DPOS-2023-57-391908,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,0.89,"love the service!
pt gave 0 to question 6 but tea trolley ,water and cups available.",0.4389,"love the service!
pt gave 0 to question 6 but tea trolley ,water and cups available.","available.,,water,service!,pt"
OP-DPOS-2023-387-192058,Steve Biko Academic hospital,Obstetriecs,0.78,Sometimes toilets are not clean,-0.3089,Sometimes toilets are not clean,
OP-DPOS-2023-57-909638,Charlotte Maxeke Academic Hospital,Paediatric Neuro Develpoment 284,1,Everytime I come to this clinic the staff are alwas smiing and friendly.They will even ask of my wellbeing and I feel like a part of this family.They know my name without looking at my file. ,0.3612,Everytime I come to this clinic the staff are alwas smiing and friendly.They will even ask of my wellbeing and I feel like a part of this family.They know my name without looking at my file. ,"friendly.they,file.,everytime,family.they,smiing,alwas"
OP-DPOS-2023-321-234171,Rahima Moosa Regional Hospital,Ward 08,1,You take good care of the patients,0.7269,You take good care of the patients,
OP-DPOS-2023-57-297754,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.71,The nurses are very informative and are willing to answer all questions,0.0,The nurses are very informative and are willing to answer all questions,
OP-DPOS-2023-57-362991,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"Iam happy with the treatment received at the clinic.They explained very well,their behaviors very good.Thank you so much,keep upthat good spirit.May God bless you all.",0.8948,"Iam happy with the treatment received at the clinic.They explained very well,their behaviors very good.Thank you so much,keep upthat good spirit.May God bless you all.","all.,upthat,good.thank,well,their,spirit.may,much,keep,clinic.they"
OP-DPOS-2023-57-340577,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Am real happy with the services I get here.They work fast and on time.They are always available for help.,0.7506,Am real happy with the services I get here.They work fast and on time.They are always available for help.,"help.,time.they,here.they"
OP-DPOS-2023-314-134528,Pretoria West District Hospital,Faranani (Art Clinic),1,The Nurses and Doctots treated us with respect.,0.4767,The Nurses and Doctots treated us with respect.,"respect.,doctots"
OP-DPOS-2023-314-415502,Pretoria West District Hospital,Faranani (Art Clinic),0.89,"The Nurses greet us with a smile,explain thoroughly and give advice as well. ",0.5267,"The Nurses greet us with a smile,explain thoroughly and give advice as well. ","smile,explain,well."
OP-DPOS-2023-314-325374,Pretoria West District Hospital,Faranani (Art Clinic),1,The facility is clean and the staff is friendly and always helpful.,0.8271,The facility is clean and the staff is friendly and always helpful.,helpful.
OP-DPOS-2023-314-353832,Pretoria West District Hospital,Faranani (Art Clinic),1,I appreciate the service from staff because they are friendly. I am a foreigner and they treat me the same as the locals.,0.8225,I appreciate the service from staff because they are friendly. I am a foreigner and they treat me the same as the locals.,"locals.,friendly."
OP-DPOS-2023-57-742258,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"Thank you for woderful service from the doctors ,nurses and all workers.You have good attitude,hospitality and love. Keep up the good work.",0.91,"Thank you for woderful service from the doctors ,nurses and all workers.You have good attitude,hospitality and love. Keep up the good work.","woderful,workers.you,love.,,nurses,work.,attitude,hospitality"
OP-DPOS-2023-57-425733,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.57,Sisters are helpful,0.4215,Sisters are helpful,
OP-DPOS-2023-57-455726,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"We appreciate the help that we are getting from this unit,thank you very much.we always feel welcomed ,keep it up.",0.7783,"We appreciate the help that we are getting from this unit,thank you very much.we always feel welcomed ,keep it up.","unit,thank,up.,,keep,much.we"
OP-DPOS-2023-57-463620,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"Great hospital,excellent treatment,great staff and doctors,super carring people in order in the work place out of a 100% i would gie them 120%",0.6249,"Great hospital,excellent treatment,great staff and doctors,super carring people in order in the work place out of a 100% i would gie them 120%","hospital,excellent,120%,100%,doctors,super,treatment,great"
OP-DPOS-2023-57-217195,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"They are very helpful,very good servies.",0.4902,"They are very helpful,very good servies.","servies.,helpful,very"
OP-DPOS-2023-57-731819,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Keep up the good health standard,0.4404,Keep up the good health standard,
OP-DPOS-2023-57-487045,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,All the sisters are very nie and patient,0.0,All the sisters are very nie and patient,
OP-DPOS-2023-57-570827,Charlotte Maxeke Academic Hospital,Premature low care (185),1,"The nurses are kind, helpful they  show us how to change the baby's nappy and also give us health education on how to deal with a baby at home",0.7351,"The nurses are kind, helpful they  show us how to change the baby's nappy and also give us health education on how to deal with a baby at home","kind,"
OP-DPOS-2023-57-093418,Charlotte Maxeke Academic Hospital,Premature low care (185),1,"The nurses were so helpfull. I remember first time I heard about my baby's condition, it was very dificult time for me but they made it easy for me. The love they give to us and our babies is unconditional and she also give me full health education. ",0.8922,"The nurses were so helpfull. I remember first time I heard about my baby's condition, it was very dificult time for me but they made it easy for me. The love they give to us and our babies is unconditional and she also give me full health education. ","education.,condition,,me.,helpfull."
OP-DPOS-2023-57-642740,Charlotte Maxeke Academic Hospital,Premature low care (185),1,"I am very satisfied with the nurses and happy for the baby is progressing and the care they giving them, I am very happy and the nurse they are very understanding too",0.9441,"I am very satisfied with the nurses and happy for the baby is progressing and the care they giving them, I am very happy and the nurse they are very understanding too","them,"
OP-DPOS-2023-57-300680,Charlotte Maxeke Academic Hospital,Premature low care (185),1,I am very happy the service nurses always there to explain everything  to us. My baby is on with them no complain.,0.0754,I am very happy the service nurses always there to explain everything  to us. My baby is on with them no complain.,"us.,complain."
OP-DPOS-2023-367-620956,Sizwe Tropical Disease Hospital,OPD,1,Thank you to the hospital  and all th staff and doctors they are good and patient at all times. Thanks to management and to everyone keep up he good work.,0.8807,Thank you to the hospital  and all th staff and doctors they are good and patient at all times. Thanks to management and to everyone keep up he good work.,"work.,times.,th"
OP-DPOS-2023-367-138907,Sizwe Tropical Disease Hospital,OPD,1,I amsatisfied with the servise received.,0.0,I amsatisfied with the servise received.,"amsatisfied,received.,servise"
OP-DPOS-2023-367-365572,Sizwe Tropical Disease Hospital,OPD,1,"Yes you care about us. and you treat us the heat. I dont he a complain because evrything is correct an perfect. I am happy for hospitality. doctors, nurses approach us warmly with manners.",0.9629,"Yes you care about us. and you treat us the heat. I dont he a complain because evrything is correct an perfect. I am happy for hospitality. doctors, nurses approach us warmly with manners.","hospitality.,evrything,us.,manners.,doctors,,perfect.,heat."
OP-DPOS-2023-367-816451,Sizwe Tropical Disease Hospital,OPD,1,"I dont have any bad feedbackthank you so much for making this hospital the best
",0.7935,"I dont have any bad feedbackthank you so much for making this hospital the best
",feedbackthank
OP-DPOS-2023-28-863314,Bheki Mlangeni District Hospital,OUT PATIENT DEPARTMENT,1,This hospital is services is very good keep it up,0.4927,This hospital is services is very good keep it up,
OP-DPOS-2023-367-692971,Sizwe Tropical Disease Hospital,"OPD
",1,We get all the help we need and we are happy.,0.7506,We get all the help we need and we are happy.,happy.
OP-DPOS-2023-367-529782,Sizwe Tropical Disease Hospital,"OPD
",1,Nurses care about people,0.4939,Nurses Care About People,
OP-DPOS-2023-28-393306,Bheki Mlangeni District Hospital,OUT PATIENT DEPARTMENT,1,the service for outpatients is very good,0.4927,the service for outpatients is very good,
OP-DPOS-2023-28-085033,Bheki Mlangeni District Hospital,OUT PATIENT DEPARTMENT,0.94,I have been here for 3 years and I have received the best treatment. ,0.6369,I have been here for 3 years and I have received the best treatment. ,treatment.
OP-DPOS-2023-28-193741,Bheki Mlangeni District Hospital,OUT PATIENT DEPARTMENT,0.89,The service I get when I come to the hospital is always exellent,0.0,The service I get when I come to the hospital is always exellent,exellent
OP-DPOS-2023-28-302661,Bheki Mlangeni District Hospital,PHYSIOTHERAPY,1,i AM VERY HAPPY I DID GET HELP WITH A SMILE.THANK YOU VERY MUCH,0.7713,i AM VERY HAPPY I DID GET HELP WITH A SMILE.THANK YOU VERY MUCH,smile.thank
OP-DPOS-2023-367-831367,Sizwe Tropical Disease Hospital,"OPD
",1,"All admin clerks, doctors, nurses cleaners and porters. Plays ahuge rolein ur lifes as I come on monthly basis they are always happy to see and help us.I rate all of them 10/10 for their services May God bless you all the staff",0.9062,"All admin clerks, doctors, nurses cleaners and porters. Plays ahuge rolein ur lifes as I come on monthly basis they are always happy to see and help us.I rate all of them 10/10 for their services May God bless you all the staff","clerks,,rolein,10/10,doctors,,porters.,ahuge,us.i"
OP-DPOS-2023-28-296975,Bheki Mlangeni District Hospital, OCCUPATIONAL THERAPHY,0.83,I was well informed during the sesssion and I received good information,0.6124,I was well informed during the sesssion and I received good information,sesssion
OP-DPOS-2023-57-337296,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Thank you for all the help from the nurses on duty and the Doctors.much appreciated,0.8176,Thank you for all the help from the nurses on duty and the Doctors.much appreciated,doctors.much
OP-DPOS-2023-57-461200,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Iam about the treatment over my son.,0.0,Iam about the treatment over my son.,son.
OP-DPOS-2023-57-205085,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,"Im always happy when i get into the hospita,the sister who attended to me was so kind and happy,she introduced her ddelf to me and i feel lovely and great.Sara Mmoko thank you for yur love and good hard work.",0.9685,"Im always happy when i get into the hospita,the sister who attended to me was so kind and happy,she introduced her ddelf to me and i feel lovely and great.Sara Mmoko thank you for yur love and good hard work.","happy,she,hospita,the,work.,ddelf,great.sara,mmoko"
OP-DPOS-2023-57-307118,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.89,Iam happy about the service.,0.5719,Iam happy about the service.,service.
OP-DPOS-2023-57-510784,Charlotte Maxeke Academic Hospital,Ward 256 POPD,0.89,"The time i arrive atthe receptionist they wellcome me with a smile and assisted me where i needed help,they showed me where iam to go that is the x ray department,iam from limpopo polokwane since i started to be here i feel weolcoed and i dont have any complains.",0.5696,"The time i arrive atthe receptionist they wellcome me with a smile and assisted me where i needed help,they showed me where iam to go that is the x ray department,iam from limpopo polokwane since i started to be here i feel weolcoed and i dont have any complains.","weolcoed,help,they,limpopo,x,department,iam,polokwane,complains."
OP-DPOS-2023-57-123183,Charlotte Maxeke Academic Hospital,Ward 256 POPD,1,Good service keep it up.,0.4404,Good service keep it up.,up.
OP-DPOS-2023-57-789626,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,survey done 19 Sept 23,0.0,SURVEY DONE Sep 19 23,
OP-DPOS-2023-57-571489,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,0.94,survey done 19 Sept 23,0.0,SURVEY DONE Sep 19 23,
OP-DPOS-2023-57-892382,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,toilets in passage outside clinic has no toilet paper.all round friendly and clean staff in unit.,0.5719,toilets in passage outside clinic has no toilet paper.all round friendly and clean staff in unit.,"unit.,paper.all"
OP-DPOS-2023-57-213997,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology,1,survey done 8 Sept 23,0.0,SURVEY Done Sept 23 23,
OP-DPOS-2023-57-535414,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"no, i dont have any command everything is fine,they do the best for us every day they know how to handle patient we feel at home all the time,God bless our sisters and doctors they working hard all the time my daughter is doing well sins she start chemo every thing is fine no stress o problem.
survey done 20 Sept 23",-0.34,"no, i dont have any command everything is fine,they do the best for us every day they know how to handle patient we feel at home all the time,God bless our sisters and doctors they working hard all the time my daughter is doing well sins she start chemo every thing is fine no stress o problem.
survey done 20 Sept 23","problem.,time,god,no,,fine,they"
OP-DPOS-2023-57-863130,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,0.94,survey done 20 Sept 23,0.0,SURVEY Done Sept 20 23,
OP-DPOS-2023-57-326572,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,they have a good service all the time. they help us with everything we thanks so much may God bless them all,0.9129,they have a good service all the time. they help us with everything we thanks so much may God bless them all,time.
OP-DPOS-2023-57-966520,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,everything is perfect,0.5719,everything is perfect,
OP-DPOS-2023-57-846826,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,everything is good,0.4404,everything is good,
OP-DPOS-2023-57-479104,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,The nurses were friendly and helpful and their name tags on them,0.7184,The nurses were friendly and helpful and their name tags on them,
OP-DPOS-2023-57-381583,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,"I'm happy with everything, God bless",0.8225,"I'm happy with everything, God bless","everything,"
OP-DPOS-2023-57-100803,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,"She's well taken care, I'm happy with the progress",0.8957,"She's well taken care, I'm happy with the progress","care,"
OP-DPOS-2023-57-864384,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,Service excellent,0.5719,Excellent service,
OP-DPOS-2023-57-448826,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,Good service,0.4404,Good service,
OP-DPOS-2023-57-051433,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,thus far we have received exceptional service. no complaints or dissatisfaction,-0.7964,thus far we have received exceptional service. no complaints or dissatisfaction,service.
OP-DPOS-2023-57-807546,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,The staff were very helpful and had thei name tags on and were friendly,0.7425,The staff were very helpful and had thei name tags on and were friendly,
OP-DPOS-2023-57-773010,Charlotte Maxeke Academic Hospital,"ward 185,Premature low care",1,When I came in the ward I was welcomed by a smile. The nurses are helpful when it comes to answering the questions that I have. They are kind I was never turned away when I wanted to see my baby. The place is always clean.,0.9153,When I came in the ward I was welcomed by a smile. The nurses are helpful when it comes to answering the questions that I have. They are kind I was never turned away when I wanted to see my baby. The place is always clean.,"baby.,smile.,clean.,have."
OP-DPOS-2023-387-226723,Steve Biko Academic hospital,gynaecology clinic,0.94,we wait for so long for assistance,0.0,we wait for so long for assistance,
OP-DPOS-2023-398-802454,Tembisa Tertiary Hospital,WHC,1,The service was good. Thats 'it. everythng was WOW,0.8143,The service was good. Thats 'it. everythng was WOW,"good.,everythng,'it."
OP-DPOS-2023-387-152495,Steve Biko Academic hospital,gynaecology,1,covid 19 protocols are not followed,0.0,covid 19 protocols are not followed,covid
OP-DPOS-2023-367-383911,Sizwe Tropical Disease Hospital,OPD,1,I am very happy with the service the nurses and doctors are always happy to help.,0.893,I am very happy with the service the nurses and doctors are always happy to help.,help.
OP-DPOS-2023-367-142737,Sizwe Tropical Disease Hospital,OPD,1,The service provided in the OPD is excellent and wish that it continues. Thank you,0.836,The service provided in the OPD is excellent and wish that it continues. Thank you,"opd,continues."
OP-DPOS-2023-367-930298,Sizwe Tropical Disease Hospital,OPD,1,I am happynwith the care I receive at Sizwe Hospital,0.4939,I am happynwith the care I receive at Sizwe Hospital,"happynwith,sizwe"
OP-DPOS-2023-321-355551,Rahima Moosa Regional Hospital,Colpo clinic,0.94,"Everything is okay but we stay longtime to see doctor, since 7 until.",0.1154,"Everything is okay but we stay longtime to see doctor, since 7 until.","doctor,,until."
OP-DPOS-2023-321-497640,Rahima Moosa Regional Hospital,Colpo clinic,0.89,staff are very friendly and helpful.,0.762,staff are very friendly and helpful.,helpful.
OP-DPOS-2023-398-926642,Tembisa Tertiary Hospital,SOPD,1,"i'm happy about  the services that SOPD staff is givivng us as community , always  communicate to us giving health education on how they work on different clinics that are rendered in these depertment, keep up the team spirit . Thank you ",0.8519,"i'm happy about  the services that SOPD staff is givivng us as community , always  communicate to us giving health education on how they work on different clinics that are rendered in these depertment, keep up the team spirit . Thank you ","sopd,depertment,,givivng"
OP-DPOS-2023-57-763194,Charlotte Maxeke Academic Hospital,Paediatric 284,1,None,0.0,None,
OP-DPOS-2023-57-903266,Charlotte Maxeke Academic Hospital,Paediatric 284,1,NIam very happy with the clinic nurses and doctors are very kindo Comments,0.6115,NIam very happy with the clinic nurses and doctors are very kindo Comments,"kindo,niam"
OP-DPOS-2023-57-522581,Charlotte Maxeke Academic Hospital,Paediatric 284,1,thr treatment is out standing very welcoming Comments,0.4927,thr treatment is out standing very welcoming Comments,thr
OP-DPOS-2023-321-990346,Rahima Moosa Regional Hospital,GOPD,1,Sisters welcome us with a worhiping song and prayer. I felt more welcome sister roberts introduces herself and explan everything .,0.7184,Sisters welcome us with a worhiping song and prayer. I felt more welcome sister roberts introduces herself and explan everything .,"prayer.,explan,worhiping"
OP-DPOS-2023-57-212933,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"we are happy about everything.
system glich! score should be 100% 1/18",0.6114,"we are happy about everything.
system glich! score should be 100% 1/18","1/18,100%,everything.,glich!"
OP-DPOS-2023-57-607905,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,i did not have any problem in this hospital. i am very happy. everything is good thank you,0.8922,i did not have any problem in this hospital. i am very happy. everything is good thank you,"hospital.,happy."
OP-DPOS-2023-57-355295,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,everything is going well,0.2732,everything is going well,
OP-DPOS-2023-57-080598,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,they are the best team. they do care and are very patient. more bonus to them,0.9092,they are the best team. they do care and are very patient. more bonus to them,"patient.,team."
OP-DPOS-2023-57-175545,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,thank you for your care and support friendly doctors always happy to answer all questions we have. wish the paharmacy would have omebody on duty all the time,0.9517,thank you for your care and support friendly doctors always happy to answer all questions we have. wish the paharmacy would have omebody on duty all the time,"paharmacy,omebody,have."
OP-DPOS-2023-57-798756,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,thank you for everything you do for our children we appreciate it much!!! off the love from Mama AAyan!,0.8902,thank you for everything you do for our children we appreciate it much!!! off the love from Mama AAyan!,"much!!!,aayan!"
OP-DPOS-2023-57-604833,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,all good,0.4404,can good,
OP-DPOS-2023-57-083176,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"i have no problem everything is okay. everyone they were smile nicely,welcome is nicely",0.34,"i have no problem everything is okay. everyone they were smile nicely,welcome is nicely","okay.,nicely,welcome"
OP-DPOS-2023-57-073512,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"since we attend here we've been treated well,and we are welcome",0.4588,"since we attend here we've been treated well,and we are welcome","well,and"
OP-DPOS-2023-57-795032,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"keep up the good work.love the staff they always friendly and knows us by name already. feels like we part of the ""hospital family""
thank you for all the hard work and long hours you all put in to make this section 100% with all we need. we appreciate you all",0.9081,"keep up the good work.love the staff they always friendly and knows us by name already. feels like we part of the ""hospital family""
thank you for all the hard work and long hours you all put in to make this section 100% with all we need. we appreciate you all","need.,family"",100%,already.,work.love,""hospital"
OP-DPOS-2023-57-763579,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"i am happy with the service,nurses are always happy",0.8126,"i am happy with the service,nurses are always happy","service,nurses"
OP-DPOS-2023-57-090560,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,thank you for all the friendly staff and the good service,0.8225,thank you for all the friendly staff and the good service,
OP-DPOS-2023-57-552340,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,"alles is in die plek,baie dankie",0.3612,"Everything is in the place, thank you very much","place,"
OP-DPOS-2023-57-819521,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,we are happy with the help and care we are receiving in the hospital everyday. we are so grateful all thanks to the staff,0.9488,we are happy with the help and care we are receiving in the hospital everyday. we are so grateful all thanks to the staff,everyday.
OP-DPOS-2023-57-629283,Charlotte Maxeke Academic Hospital,ward 294 Paediatric Oncology and Haematology ward,1,they must continue with what they are doing. BIP up for them,0.0,they must continue with what they are doing. BIP up for them,doing.
OP-DPOS-2023-57-154036,Charlotte Maxeke Academic Hospital,Paeds (ward 185),1,They care well for my baby-even when I have a problem they explain to me about my baby ,0.3818,They care well for my baby-even when I have a problem they explain to me about my baby ,baby-even
OP-DPOS-2023-57-286746,Charlotte Maxeke Academic Hospital,Paeds (ward 185),1,"Everything is fine I have no complaints of anything,  well welcomed and Everything explained accordingly ",0.1027,"Everything is fine I have no complaints of anything,  well welcomed and Everything explained accordingly ","anything,"
OP-DPOS-2023-57-529731,Charlotte Maxeke Academic Hospital,Paeds (ward 185),1,"The sister that was taking care of my baby she was assisting and friendly, updated me on the baby outcome so I have no complaints.  Only good compliments for the treatment ",0.762,"The sister that was taking care of my baby she was assisting and friendly, updated me on the baby outcome so I have no complaints.  Only good compliments for the treatment ","complaints.,friendly,"
OP-DPOS-2023-57-918741,Charlotte Maxeke Academic Hospital,Paeds (ward 185),1,The sisters teaches us how to take care of a baby ,0.4939,The sisters teaches us how to take care of a baby ,
OP-DPOS-2023-57-235394,Charlotte Maxeke Academic Hospital,Paeds (ward 185),1,Every time when I come here I am always welcome.  I was never turned away.  I always have access to see my baby.  The nurses are kind.  The place is always clean. ,0.8442,Every time when I come here I am always welcome.  I was never turned away.  I always have access to see my baby.  The nurses are kind.  The place is always clean. ,"kind.,baby.,welcome.,clean.,away."
OP-DPOS-2023-151-401707,Helen Joseph Tertiary Hospital,Eye Clinic,0.72,"Sisters Sthuizen shes a good controller and she perfect n explaining. I compliment the staff of eye clinic Carol has customer service she treats patient well,she has away of explaining to patient and young ones.She has a good attitude her introduction to patient is 100%.",0.9118,"Sisters Sthuizen shes a good controller and she perfect n explaining. I compliment the staff of eye clinic Carol has customer service she treats patient well,she has away of explaining to patient and young ones.She has a good attitude her introduction to patient is 100%.","sthuizen,n,well,she,100%.,explaining.,ones.she"
OP-DPOS-2023-151-357458,Helen Joseph Tertiary Hospital,MOPD,0.67,#NAME?,0.0,#Name?,#name?
OP-DPOS-2023-151-520084,Helen Joseph Tertiary Hospital,ENT,0.56,"Staff s polite.
Just read to make sure that there is toilet paper available to patients.",0.3182,"Staff s polite.
Just read to make sure that there is toilet paper available to patients.","polite.,patients.,s"
OP-DPOS-2023-151-855505,Helen Joseph Tertiary Hospital,ENT,0.72,"Nurses 'not all' need to be friendly
Doctors must explan condition and medication clearly and ensure that the patients understands.
Tolets need to be service\maintaned checked 2 to 3 times a day.",0.8176,"Nurses 'not all' need to be friendly
Doctors must explan condition and medication clearly and ensure that the patients understands.
Tolets need to be service\maintaned checked 2 to 3 times a day.","service\maintaned,tolets,all',understands.,day.,'not,explan"
OP-DPOS-2023-151-713163,Helen Joseph Tertiary Hospital,Thembalethu Clinic,1,"Personally i wouldnt want to leave the clinic,the staff is very friendly ,i am so far happy with their service i have been here since 2007,Keep t up",0.8125,"Personally i wouldnt want to leave the clinic,the staff is very friendly ,i am so far happy with their service i have been here since 2007,Keep t up",",i,2007,keep,t,clinic,the"
